AREA,INT_SQFT,DATE_SALE,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
Karapakkam,804,2010-10-22,46,1,1,2,Normal Sale,No,2003-10-24,Commercial,NoSewr ,No Access,RM,3.1,2.5,4.4,3.44,293869,75566,8396250
Chrompet,917,2007-10-11,147,1,1,3,Partial,No,1999-12-11,House,ELO,No Access,RL,4.6,5.0,3.2,4.34,199097,78217,7110600
Anna Nagar,1729,2011-09-13,80,1,1,4,AdjLand,No,1974-09-22,Others,NoSewr ,Gravel,RM,2.0,4.3,2.2,2.655,382289,99112,14158860
Chrompet,1102,2009-01-25,89,1,1,3,Normal Sale,Yes,1980-02-02,Commercial,NoSeWa,Gravel,RM,2.7,3.6,2.0,2.85,449839,246686,14510950
Velachery,1826,2005-06-18,67,3,2,5,AdjLand,Yes,1974-06-26,Commercial,NoSewr ,Paved,RL,3.0,4.7,2.9,3.74,647223,215741,16595470
Velachery,1864,2009-03-08,46,3,2,5,Normal Sale,Yes,1958-08-16,Commercial,NoSewr ,Gravel,RH,2.7,2.0,3.1,2.51,636543,206876,15913570
Velachery,1776,2004-08-19,196,2,1,4,Partial,No,1956-08-31,Others,AllPub,Paved,RM,3.0,4.9,3.1,3.89,333552,177200,10423510
Chrompet,1091,2010-08-29,184,1,1,3,AbNormal,No,2002-08-31,Commercial,ELO,No Access,RM,2.9,4.5,2.9,3.54,317265,164978,12690600
Adyar,712,2009-04-05,118,1,1,2,Family,Yes,1998-07-05,Commercial,NoSewr ,Paved,RH,3.6,4.6,3.3,3.65,403057,137888,10606765
Chrompet,795,2014-05-14,16,1,1,2,Family,Yes,1997-05-18,Commercial,NoSewr ,Gravel,RM,2.2,2.8,4.0,2.98,406341,209327,12313350
Chrompet,922,2009-04-30,80,1,1,3,AdjLand,Yes,1987-06-05,Commercial,NoSewr ,Paved,RM,4.0,4.6,2.5,3.79,332248,53160,13289900
Karapakkam,1473,2010-09-02,80,2,2,4,Partial,Yes,2000-12-02,House,NoSewr ,Paved,RH,3.6,2.0,4.1,3.32,258912,100224,8352000
Karapakkam,1699,2009-12-22,10,2,2,4,Normal Sale,Yes,2000-12-24,Commercial,ELO,No Access,C,3.0,2.9,3.4,3.13,422679,102814,11423750
Chrompet,1026,2011-06-25,5,1,1,3,AdjLand,No,1992-06-29,Others,ELO,Gravel,RM,3.1,4.0,3.4,3.55,293482,80961,10120070
Anna Nagar,1570,2008-07-02,68,1,1,4,AbNormal,No,1975-02-15,Others,NoSeWa,No Access,RH,4.5,3.0,3.4,3.685,322143,96643,10738110
KK Nagar,1479,2008-09-25,199,2,1,4,Family,No,1986-01-10,House,AllPub,Gravel,RH,2.3,2.9,4.3,3.28,348321,186904,8495640
KK Nagar,2380,2010-11-29,20,4,2,6,Normal Sale,No,1988-04-12,Others,NoSewr ,Gravel,RH,4.4,4.9,2.9,3.95,518324,135751,12341040
Chrompet,704,2015-02-16,52,1,1,2,Partial,No,1976-02-26,House,AllPub,Gravel,RH,3.9,2.1,2.2,2.67,162460,81230,6248450
KK Nagar,1325,2009-06-06,139,1,1,3,Normal Sale,Yes,1984-12-06,House,NoSewr ,Paved,RH,4.5,4.3,2.7,3.72,322145,101730,8477500
Velachery,1558,2004-05-12,49,2,1,4,Family,No,1949-12-19,Commercial,AllPub,Paved,RH,4.5,3.8,4.8,4.28,452317,87950,12564350
Chrompet,1133,2009-11-14,64,1,1,3,Partial,Yes,2004-11-15,Others,AllPub,No Access,RH,4.1,4.3,4.4,4.27,307064,158184,9304960
KK Nagar,1866,2012-01-14,86,3,2,5,AdjLand,No,1991-01-19,House,AllPub,Gravel,RL,2.6,4.1,3.8,3.53,530289,227267,10822220
Adyar,936,2011-01-20,106,1,1,3,Normal Sale,Yes,1987-01-26,Others,ELO,Paved,RH,2.6,2.8,3.9,3.29,352492,108459,9038260
Velachery,1657,2008-10-06,187,2,1,4,Normal Sale,No,1958-06-23,Commercial,AllPub,No Access,A,3.0,2.9,2.3,2.75,401448,184449,10849950
Chrompet,904,2011-02-12,36,1,1,3,Family,No,1999-05-12,Others,AllPub,No Access,RM,2.6,2.8,4.3,3.19,236658,50712,8452080
Chrompet,924,2015-02-13,183,1,1,3,AdjLand,Yes,1985-02-20,Commercial,ELO,Gravel,RM,4.2,3.4,4.0,3.82,404553,229247,13485100
KK Nagar,2031,2009-05-03,74,3,2,5,AdjLand,Yes,1993-09-03,Others,NoSeWa,Paved,RH,3.9,2.1,4.1,3.44,498882,190050,11878140
Velachery,1945,2011-03-30,63,3,2,5,Family,Yes,1995-03-04,House,ELO,Gravel,RH,2.3,3.5,2.7,2.96,416553,153467,10961920
Chrompet,1297,2014-07-28,170,2,1,4,Family,No,1975-07-08,House,NoSewr ,Gravel,RM,3.9,4.3,3.3,3.88,282477,131150,10088450
KK Nagar,2179,2010-03-30,132,3,2,5,AbNormal,Yes,1981-06-04,Commercial,AllPub,Paved,RL,4.2,4.8,3.8,4.22,589346,357180,17858980
Chrompet,996,2012-04-09,191,1,1,3,Family,Yes,1984-11-09,House,ELO,Gravel,RL,2.5,3.0,2.5,2.7,264927,63948,9135400
Chrompet,969,2011-02-16,176,1,1,3,Family,No,1972-02-26,Others,NoSeWa,Paved,RM,4.7,3.7,2.3,3.58,285331,43232,8646380
Velachery,1506,2005-08-28,180,2,1,4,AdjLand,No,1982-03-09,Others,NoSewr ,Gravel,C,2.4,2.3,4.7,3.05,291588,85761,8576110
Chrompet,1095,2012-11-25,52,1,1,3,Partial,No,1993-11-30,House,AllPub,Gravel,RH,4.2,4.8,3.9,4.35,276119,108774,8367250
KK Nagar,1329,2011-07-19,44,1,1,3,AbNormal,Yes,1992-07-23,Others,AllPub,Paved,RL,4.4,4.3,2.4,3.57,492038,236178,9840760
Karapakkam,1130,2010-08-14,130,1,1,3,Partial,Yes,2005-08-15,Others,NoSewr ,Gravel,RH,3.0,2.4,4.3,3.34,253845,177692,8461500
Karapakkam,1299,2010-02-15,141,1,1,3,Normal Sale,No,1975-02-24,Commercial,AllPub,Paved,RL,4.1,3.6,4.6,4.15,458004,117164,10651250
Karapakkam,514,2011-10-24,79,1,1,2,AdjLand,No,1973-02-11,House,AllPub,No Access,C,3.2,4.2,2.6,3.26,111366,43309,3093500
KK Nagar,1738,2011-05-24,178,2,1,4,AdjLand,No,2006-05-25,House,AllPub,Gravel,RL,3.5,2.3,4.2,3.42,330042,159698,10646500
T Nagar,1782,2013-05-13,168,1,1,4,Family,No,1993-05-18,House,NoSewr ,Gravel,RH,4.8,4.4,4.3,4.475,375257,181576,12105050
Karapakkam,749,2010-09-11,132,1,1,2,AbNormal,Yes,1964-11-20,House,NoSewr ,No Access,RH,4.0,3.8,3.2,3.62,218325,101175,5325000
Chrompet,1267,2008-04-15,5,2,1,4,Partial,Yes,1984-04-21,House,NoSewr ,No Access,RL,3.7,4.2,4.2,4.05,234915,65776,9396600
Karapakkam,694,2012-10-02,32,1,1,2,AdjLand,No,1977-02-18,Commercial,NoSeWa,Gravel,I,4.2,4.7,3.8,4.19,270514,97108,6936250
Adyar,1175,2008-08-08,69,1,1,3,Normal Sale,Yes,1979-08-16,Others,ELO,Paved,RL,4.4,2.3,4.1,3.83,418573,160990,10732635
Anna Nagar,1846,2014-03-18,62,2,1,5,AdjLand,No,1972-03-28,Commercial,NoSewr ,Paved,RL,3.0,4.7,2.0,3.025,769310,222695,20244990
KK Nagar,1428,2009-05-26,17,2,1,4,Family,Yes,2002-05-28,Commercial,NoSeWa,Paved,RH,4.5,2.2,4.9,3.97,648247,181509,12964940
Adyar,824,2009-07-17,46,1,1,3,Family,Yes,1980-07-24,Others,AllPub,Paved,I,2.0,2.2,3.4,2.74,267959,102455,7881135
Velachery,1637,2009-09-03,157,2,1,4,Family,Yes,1971-03-19,Commercial,NoSewr ,Gravel,C,3.7,2.1,4.0,3.07,511497,242288,13460460
KK Nagar,2189,2010-02-18,144,3,2,5,AdjLand,Yes,1998-02-21,Others,AllPub,Gravel,RL,3.5,4.1,2.5,3.28,510297,234461,13791820
Adyar,1128,2009-11-15,123,1,1,3,Partial,Yes,1975-11-24,House,AllPub,No Access,RM,3.7,3.9,3.2,3.49,328536,19326,9662810
Karapakkam,1213,2009-10-09,22,1,1,3,Normal Sale,No,1976-09-18,House,NoSeWa,Paved,RL,2.8,3.6,3.9,3.48,325158,117610,6918250
Velachery,1984,2006-07-20,138,3,2,5,AbNormal,Yes,1971-07-29,Commercial,NoSeWa,Gravel,C,2.6,3.6,2.0,2.87,486061,282229,15679400
Adyar,680,2008-01-28,126,1,1,2,AdjLand,Yes,1986-02-02,Commercial,ELO,Paved,A,3.1,3.9,3.6,3.51,257659,68709,8588630
Velachery,1508,2004-01-05,54,2,1,4,Partial,No,1957-05-13,House,ELO,Paved,I,4.7,5.0,3.7,4.54,206724,137816,6890790
Anna Nagar,1538,2007-04-21,187,1,1,4,Family,Yes,1994-04-24,Commercial,AllPub,Gravel,RM,3.8,4.8,4.4,4.29,698753,139751,19964360
T Nagar,1723,2014-03-30,19,1,1,4,AdjLand,Yes,1978-08-04,House,NoSewr ,No Access,RL,3.5,3.1,4.0,3.625,490038,226171,12565070
Chrompet,1161,2007-08-22,58,1,1,3,Family,Yes,1974-08-30,Others,ELO,Paved,RM,4.4,4.6,3.1,4.09,296434,127043,10586920
Velachery,1676,2005-03-09,34,2,1,4,Partial,Yes,1977-10-09,Others,AllPub,Gravel,A,3.1,4.1,4.4,3.94,299942,118159,9089160
T Nagar,1749,2014-12-19,4,1,1,4,Family,No,1997-12-23,House,NoSeWa,Paved,RH,3.9,3.5,4.4,4.025,454076,113519,11351890
KK Nagar,2199,2008-12-13,200,3,2,5,Partial,Yes,1990-12-18,House,NoSewr ,Gravel,RM,4.1,4.9,4.9,4.66,561509,204185,12761560
Chrompet,1101,2013-02-03,30,1,1,3,Family,No,1973-12-03,House,ELO,Gravel,RM,4.4,3.1,2.2,3.22,269472,62877,8982400
Adyar,1240,2007-07-05,5,2,2,4,Partial,Yes,1999-09-05,Others,NoSeWa,Paved,RH,5.0,3.2,3.9,4.09,404199,74458,10636820
Adyar,1266,2007-07-11,7,2,2,4,Family,No,1969-11-16,Others,NoSewr ,Gravel,A,3.0,3.7,4.5,3.89,300546,113720,8122870
Chrompet,1021,2014-04-30,159,1,1,3,AbNormal,Yes,2005-02-05,Others,NoSeWa,Paved,RH,4.9,4.7,2.1,3.98,298097,83840,9315520
Velachery,1713,2010-08-10,72,2,1,4,Normal Sale,Yes,1974-10-17,House,NoSewr ,Paved,A,2.7,2.4,4.9,3.23,292206,118462,7897470
Velachery,1563,2006-08-08,158,2,1,4,Partial,No,1970-08-17,House,AllPub,No Access,A,2.8,2.3,4.9,3.21,174011,101039,5613270
Chrompet,889,2009-06-01,133,1,1,3,Family,No,1994-10-01,Commercial,NoSeWa,Gravel,RM,4.2,4.7,2.8,3.98,400826,133609,12146250
Velachery,1925,2009-11-07,17,3,2,5,AdjLand,Yes,1982-07-18,Others,NoSewr ,Gravel,C,4.3,2.5,2.8,3.04,331656,176883,11055190
KK Nagar,1791,2010-01-01,107,3,2,5,AdjLand,No,1987-07-01,House,NoSewr ,Gravel,RL,4.1,2.6,3.3,3.33,438239,125211,10434260
Chrompet,910,2006-11-18,178,1,1,3,Normal Sale,Yes,1983-11-24,House,NoSeWa,Paved,RM,3.5,2.5,2.1,2.68,303146,45931,9186250
KK Nagar,2450,2011-05-16,78,4,2,6,Normal Sale,No,1999-05-19,House,NoSeWa,Gravel,RH,4.8,3.4,4.5,4.26,360785,232765,11638240
KK Nagar,1763,2010-12-24,155,2,1,4,Family,Yes,1983-12-31,Others,AllPub,Paved,RH,2.5,3.5,2.5,2.8,353206,83107,10388400
Chrompet,1170,2012-03-28,5,1,1,3,AbNormal,No,1974-07-04,Commercial,AllPub,Paved,RH,4.5,4.6,2.5,3.94,385904,186728,12448500
Adyar,1294,2010-10-23,26,2,2,4,Partial,Yes,1990-10-28,House,NoSeWa,Gravel,RH,2.5,4.0,4.7,3.9,311499,155750,10383300
KK Nagar,1386,2011-03-31,101,2,1,4,Partial,Yes,2006-01-04,Commercial,NoSeWa,Paved,RM,3.5,4.9,3.3,3.84,496825,262213,13800700
Karapakkam,1506,2010-05-04,156,2,2,4,AdjLand,Yes,1975-04-14,House,ELO,No Access,C,3.6,2.0,2.0,2.48,264460,161256,6450250
Anna Nagar,1830,2011-10-07,33,2,1,5,AbNormal,No,1968-07-20,Commercial,NoSeWa,Gravel,RM,3.9,4.6,2.7,3.595,769130,270235,20787310
Chrompet,744,2013-01-08,112,1,1,2,AbNormal,Yes,1985-08-08,House,ELO,No Access,RH,3.6,3.1,2.4,3.04,174992,32406,6481200
Chrompet,1298,2014-07-13,75,2,1,4,Partial,Yes,2010-07-14,House,NoSeWa,No Access,RL,3.0,3.6,4.3,3.63,291582,116633,9719400
Anna Nagar,1615,2013-08-19,181,1,1,4,AbNormal,No,1983-08-27,House,ELO,No Access,RH,2.1,4.6,2.5,2.885,295379,157535,9845950
KK Nagar,1964,2011-05-29,35,3,2,5,Family,No,1992-02-06,House,NoSewr ,Paved,RL,4.9,4.8,2.9,4.07,383214,211776,10084580
Chrompet,812,2012-12-09,21,1,1,3,Normal Sale,No,2002-09-15,House,AllPub,No Access,RL,4.1,5.0,3.3,4.22,224009,86713,7226100
Adyar,1270,2011-01-30,70,2,2,4,AdjLand,Yes,2000-02-02,Commercial,NoSewr ,Paved,C,2.4,4.3,4.7,3.93,480796,160265,14569565
Karapakkam,1045,2012-02-13,59,1,1,3,Normal Sale,No,1977-02-21,House,NoSeWa,No Access,A,4.6,4.5,4.7,4.61,128691,53621,3574750
Chrompet,1093,2008-04-11,51,1,1,3,AbNormal,No,1996-07-11,House,NoSewr ,No Access,RM,4.6,4.9,3.8,4.48,271262,61253,8750400
Chrompet,934,2008-06-30,29,1,1,3,Family,No,1994-04-07,Others,NoSewr ,No Access,RH,4.3,2.0,2.1,2.72,193095,57213,7151680
Velachery,1617,2011-11-23,171,2,1,4,Family,No,1969-03-12,House,NoSewr ,No Access,RM,4.0,2.1,2.7,2.76,324098,76760,8528890
Velachery,1994,2009-11-13,87,3,2,5,Normal Sale,No,1980-11-20,House,NoSeWa,No Access,I,3.6,2.6,4.2,3.33,309945,92146,8376880
Velachery,1759,2004-03-18,8,2,1,4,AdjLand,Yes,1975-03-26,House,NoSewr ,Gravel,RM,4.8,3.5,5.0,4.28,443217,83852,11978830
KK Nagar,1968,2009-12-17,126,3,2,5,AbNormal,Yes,1998-12-20,Others,NoSeWa,Gravel,RM,3.2,2.5,2.6,2.75,652659,208851,13053180
Karapakkam,785,2011-01-14,103,1,1,2,Family,No,1979-01-22,Others,NoSeWa,No Access,I,3.2,4.2,2.6,3.26,194903,62203,4146875
Velachery,1956,2011-03-02,11,3,2,5,AbNormal,No,1994-07-02,Others,NoSewr ,Paved,C,2.8,4.5,3.0,3.63,353953,133928,9566290
Karapakkam,1042,2010-12-04,27,1,1,3,Family,No,2005-04-13,Others,NoSeWa,Gravel,C,3.6,3.2,2.3,2.96,281930,143964,5998500
Anna Nagar,1566,2008-10-08,21,1,1,4,Family,No,1982-08-17,Others,NoSewr ,No Access,RL,3.7,2.5,4.9,3.88,309693,114701,11470100
KK Nagar,1380,2008-02-07,167,2,1,4,Family,No,1980-09-07,Commercial,AllPub,Gravel,RH,3.1,4.9,4.9,4.36,519292,193225,12076560
Karapakkam,1047,2012-03-27,52,1,1,3,AbNormal,Yes,1962-09-04,House,AllPub,Gravel,I,4.1,3.4,4.1,3.89,332906,74734,6794000
Chrompet,975,2012-07-07,80,1,1,3,Family,No,2001-10-07,House,NoSewr ,Paved,RL,2.5,3.5,2.9,3.02,201871,129198,8074850
Chrompet,1036,2010-02-04,152,1,1,3,Normal Sale,No,1993-06-04,House,NoSewr ,No Access,RM,2.0,4.0,2.3,2.89,224466,33254,8313550
Anna Nagar,1960,2010-10-25,56,2,1,5,Partial,No,1974-03-11,Others,NoSewr ,Paved,RH,4.2,2.0,2.0,2.77,506073,77857,12976220
KK Nagar,2438,2011-12-28,153,4,2,6,Normal Sale,No,2006-12-29,House,NoSewr ,Paved,RL,4.3,2.6,3.2,3.35,368017,106844,11871500
T Nagar,1752,2007-07-05,163,1,1,4,Normal Sale,No,1983-05-13,Others,NoSewr ,No Access,RH,3.3,4.9,2.2,3.205,419552,119872,11987190
Chrompet,1272,2012-08-30,192,2,1,4,AbNormal,No,1986-06-09,Others,ELO,Paved,RH,2.9,4.1,2.3,3.2,281019,27195,9065140
Adyar,784,2006-12-14,17,1,1,2,AdjLand,No,1983-12-20,House,NoSewr ,Gravel,RM,4.8,2.0,2.6,3.14,352718,90440,9044045
KK Nagar,2461,2011-06-20,184,4,2,6,Partial,No,1983-06-27,Others,NoSewr ,Gravel,RL,3.6,4.1,2.6,3.35,444954,152556,12712980
Chrompet,911,2009-07-12,98,1,1,3,Partial,No,1981-12-14,Commercial,AllPub,Paved,RM,2.9,2.5,2.0,2.47,299198,34523,11507600
KK Nagar,2330,2009-01-04,1,4,2,6,Normal Sale,Yes,1993-05-04,Commercial,NoSeWa,Gravel,RM,2.4,2.2,2.4,2.34,612818,158147,19768320
Velachery,1673,2006-12-29,86,2,1,4,AdjLand,No,1962-09-01,House,ELO,No Access,RL,2.5,4.8,4.0,3.99,288431,127249,8483250
Velachery,1966,2005-06-13,60,3,2,5,AbNormal,No,1999-06-15,House,NoSeWa,Gravel,C,3.4,4.5,3.6,3.96,317668,140148,9343170
Karapakkam,850,2010-05-08,125,1,1,2,Family,Yes,1963-08-17,Commercial,AllPub,Gravel,A,4.0,2.3,3.0,3.09,323806,84471,7039250
Anna Nagar,1622,2009-05-23,37,1,1,4,Normal Sale,No,1985-05-29,House,NoSewr ,Gravel,RH,3.1,2.8,2.9,2.945,305338,124397,11308830
Velachery,1938,2005-08-10,5,3,2,5,AdjLand,No,1971-10-17,House,AllPub,Gravel,RM,2.8,3.7,3.5,3.42,369739,231087,11554330
Anna Nagar,1867,2007-06-12,138,2,1,5,Family,Yes,1983-12-12,House,NoSewr ,Paved,RL,4.9,3.5,3.5,3.99,337695,108062,13507780
Adyar,791,2010-07-12,72,1,1,2,AdjLand,Yes,1994-11-12,Others,NoSeWa,No Access,A,5.0,4.8,3.4,4.16,242708,25548,6387040
Anna Nagar,1958,2007-12-16,82,2,1,5,Family,No,1985-12-21,Commercial,NoSewr ,No Access,RH,2.9,3.2,2.6,2.855,594051,118810,19801690
Anna Nagar,1601,2008-09-24,108,1,1,4,AbNormal,No,1970-04-10,Others,NoSewr ,Gravel,RL,2.5,3.8,4.8,3.745,505862,113819,12646540
Karapakkam,1617,2009-03-09,160,2,2,4,AdjLand,Yes,1974-12-09,Commercial,NoSeWa,Gravel,RM,2.6,4.4,3.6,3.54,521505,289725,14486250
Chrompet,1015,2013-06-25,105,1,1,3,Normal Sale,No,1976-04-07,Commercial,NoSeWa,Paved,RL,3.1,4.1,3.9,3.74,362010,58389,11677750
T Nagar,1572,2012-04-03,111,1,1,4,Partial,Yes,1983-12-03,House,ELO,Gravel,RL,4.4,3.8,4.1,4.115,319140,208669,12274630
T Nagar,1924,2007-03-19,139,2,1,5,Family,No,1975-03-27,Others,AllPub,Paved,RL,2.0,2.0,2.2,2.09,372072,179146,13780460
T Nagar,1848,2013-05-21,33,2,1,5,AdjLand,No,1997-05-25,Others,ELO,Paved,RM,4.5,5.0,2.0,3.5,502253,221582,14772160
Chrompet,1238,2012-12-16,34,2,1,4,Partial,Yes,2007-12-18,House,NoSeWa,Gravel,RH,4.8,4.9,4.3,4.69,322053,171091,10064150
T Nagar,1556,2014-05-04,188,1,1,4,Normal Sale,Yes,1988-11-04,House,NoSeWa,No Access,RM,5.0,4.5,2.6,3.795,415316,232088,12215170
Anna Nagar,1543,2012-01-30,97,1,1,4,Normal Sale,Yes,1999-02-02,Commercial,NoSeWa,No Access,RL,4.5,2.2,2.3,3.045,578573,235045,18080410
Anna Nagar,1534,2014-12-17,7,1,1,4,AbNormal,No,1988-12-23,Commercial,NoSeWa,Paved,RL,2.2,2.1,4.0,2.895,692463,155804,17311570
KK Nagar,1635,2009-02-09,46,2,1,4,Partial,No,1998-05-09,House,NoSeWa,Paved,RL,3.3,4.1,4.3,3.94,293971,169256,8908220
KK Nagar,1450,2011-05-09,120,2,1,4,Family,Yes,2000-07-09,Others,NoSeWa,Gravel,RL,2.8,4.4,3.2,3.44,477595,244104,10613220
Chrompet,1117,2009-12-13,152,1,1,3,Family,No,1972-12-22,Others,AllPub,Paved,RH,3.4,3.2,2.5,3.05,223631,91109,8282640
Chrompet,953,2012-02-24,18,1,1,3,Partial,Yes,1991-01-03,House,NoSeWa,No Access,RL,3.6,4.3,4.5,4.15,249555,96602,8050150
Chrompet,742,2008-03-11,7,1,1,2,Family,Yes,1994-07-11,House,NoSeWa,No Access,RL,4.6,5.0,2.9,4.25,238070,126475,7439700
Karapakkam,820,2010-12-16,63,1,1,2,Family,Yes,2005-12-17,House,ELO,No Access,I,3.0,4.9,3.8,3.89,250045,76101,5435750
Anna Nagar,1895,2009-10-20,194,2,1,5,Family,Yes,1978-10-28,House,NoSeWa,Gravel,RL,2.7,2.3,3.9,3.08,344261,68852,13770420
Anna Nagar,1717,2009-02-26,199,1,1,4,Family,Yes,1979-06-03,Commercial,NoSeWa,Paved,RM,2.7,4.4,4.0,3.645,731893,203304,20330350
Chrompet,790,2011-10-15,166,1,1,2,AdjLand,Yes,1977-10-23,Others,NoSewr ,Gravel,RH,4.4,3.0,3.5,3.57,268584,86640,8664000
Velachery,1885,2008-09-29,156,3,2,5,AdjLand,Yes,1953-10-13,Commercial,NoSeWa,Paved,RL,2.7,4.3,4.8,4.05,590782,164106,16410600
Velachery,1749,2012-01-03,181,2,1,4,Normal Sale,Yes,2003-04-03,Others,AllPub,Paved,RM,4.0,4.0,4.6,4.18,421703,111627,12403030
Karapakkam,734,2010-01-05,151,1,1,2,AdjLand,No,1991-06-05,House,NoSeWa,Gravel,RL,2.4,2.8,4.3,3.28,268090,100534,6702250
Karapakkam,1624,2011-09-29,3,2,2,4,Normal Sale,No,1988-04-10,House,NoSewr ,No Access,A,3.5,5.0,3.2,3.83,231480,43066,5383250
Adyar,953,2009-01-04,63,1,1,3,Partial,Yes,1986-07-04,Others,NoSeWa,Paved,I,2.4,4.0,3.6,3.32,329346,16467,8233645
Chrompet,967,2008-10-10,158,1,1,3,Partial,Yes,1974-10-19,Others,ELO,Paved,RH,3.5,2.7,3.6,3.21,239229,41246,8249290
Chrompet,961,2008-10-19,15,1,1,3,AdjLand,No,1989-10-24,House,NoSeWa,Gravel,RL,3.0,4.0,3.1,3.43,218006,148244,8720250
Karapakkam,1034,2010-06-08,73,1,1,3,AbNormal,Yes,1983-08-13,Others,NoSeWa,No Access,I,3.0,4.7,2.4,3.27,256914,48936,6117000
Velachery,1940,2007-11-05,89,3,2,5,Family,No,1998-05-13,House,ELO,Paved,RM,2.2,3.4,4.2,3.34,355462,172345,10771580
Chrompet,753,2010-11-17,150,1,1,2,Family,No,1972-11-26,Commercial,ELO,Gravel,RH,3.0,5.0,2.3,3.59,250152,111179,9264900
Karapakkam,755,2009-12-21,76,1,1,2,AdjLand,No,1981-12-28,Commercial,NoSeWa,Paved,I,4.8,4.7,2.6,3.89,230826,135780,6789000
Anna Nagar,1971,2007-07-02,72,2,1,5,AdjLand,No,1966-02-17,Commercial,ELO,No Access,RM,3.2,3.8,4.9,4.03,786861,170132,21266520
Chrompet,1026,2013-05-16,29,1,1,3,AdjLand,Yes,1981-05-24,Commercial,AllPub,Paved,RH,4.2,4.1,3.4,3.92,319970,63994,12798800
Karapakkam,1375,2010-08-09,151,2,2,4,AbNormal,No,1984-09-14,Others,NoSeWa,Paved,A,4.2,3.9,2.8,3.55,242676,135447,5643625
Karapakkam,728,2011-04-20,97,1,1,2,AdjLand,No,1978-04-28,House,NoSeWa,No Access,A,4.1,4.1,3.5,3.86,135229,64675,2939750
Anna Nagar,1807,2014-07-26,70,2,1,5,AdjLand,No,1988-01-08,Others,ELO,No Access,RL,3.8,3.7,2.3,3.175,468129,156043,13003580
Karapakkam,1333,2010-12-12,31,2,2,4,Partial,No,2004-12-13,Commercial,NoSeWa,No Access,RH,4.9,3.2,3.0,3.63,359585,174933,9718500
Chrompet,1093,2013-02-04,142,1,1,3,AbNormal,Yes,1988-08-04,House,AllPub,Paved,RL,3.4,3.8,2.3,3.23,265752,104403,9491150
Adyar,1191,2007-09-17,152,1,1,3,Partial,No,1984-09-22,Others,NoSeWa,Paved,C,3.6,4.7,3.3,3.67,263226,100645,7741945
T Nagar,1984,2010-05-16,156,2,1,5,AdjLand,Yes,2005-05-17,Others,AllPub,Gravel,RL,2.7,2.4,3.6,3.03,620346,301790,16766120
Karapakkam,888,2012-03-14,9,1,1,2,Normal Sale,Yes,1979-03-23,House,NoSeWa,Gravel,I,3.9,5.0,3.7,4.15,295447,64228,6422750
Chrompet,1100,2014-04-08,102,1,1,3,AbNormal,Yes,1990-10-08,Commercial,NoSewr ,Gravel,RM,3.8,4.6,4.6,4.36,444780,222390,14826000
Chrompet,1294,2010-02-12,90,2,1,4,AbNormal,Yes,1990-07-12,Commercial,NoSewr ,Gravel,RH,3.5,5.0,2.9,3.92,440783,258390,15199400
Velachery,1904,2010-08-28,89,3,2,5,AdjLand,No,1957-10-09,Others,ELO,Paved,RH,2.1,5.0,3.8,3.92,392282,110644,10058510
Karapakkam,1045,2010-06-05,34,1,1,3,Family,Yes,1992-10-05,Others,ELO,Paved,RM,2.3,4.9,2.1,3.0,419630,128458,8563875
Karapakkam,1253,2011-01-14,200,1,1,3,Partial,No,2004-01-16,House,NoSeWa,Paved,I,2.4,2.4,4.7,3.32,217323,120735,6036750
KK Nagar,1472,2010-01-26,138,2,1,4,AbNormal,No,1985-01-02,Commercial,NoSewr ,Gravel,RL,4.5,2.5,3.8,3.62,514242,184600,13185700
Anna Nagar,1765,2008-07-11,97,1,1,4,Family,No,1971-11-17,Commercial,AllPub,Gravel,RM,3.0,4.4,3.3,3.47,650414,121953,20325440
T Nagar,1634,2012-08-09,65,1,1,4,AbNormal,Yes,1981-09-16,House,NoSeWa,Gravel,RM,2.2,2.6,3.7,2.975,469968,147704,13427670
KK Nagar,1823,2010-10-04,52,3,2,5,Family,Yes,1985-04-16,Commercial,AllPub,Gravel,RL,2.4,2.3,2.7,2.49,516554,371273,16142300
KK Nagar,2404,2008-06-03,71,4,2,6,Partial,Yes,2000-08-03,Others,AllPub,Paved,RL,2.2,3.4,4.1,3.32,554568,229943,13526040
Chrompet,985,2009-10-27,2,1,1,3,AdjLand,No,1982-03-11,House,AllPub,Gravel,RM,4.1,4.6,3.1,4.0,239336,153175,9573450
Chrompet,826,2014-01-18,116,1,1,3,Family,Yes,1994-01-23,House,AllPub,Paved,RM,3.4,4.4,2.9,3.65,255931,36562,9140400
Chrompet,705,2009-01-01,110,1,1,2,AdjLand,No,1991-06-01,House,AllPub,Paved,RL,3.2,5.0,4.7,4.37,194888,112436,7495700
Chrompet,987,2008-03-22,9,1,1,3,Partial,No,1997-03-25,House,NoSewr ,No Access,RL,2.3,4.8,3.0,3.51,185396,51911,7415850
KK Nagar,1625,2008-07-20,100,2,1,4,AdjLand,Yes,1980-07-27,Others,NoSeWa,Paved,RH,4.6,2.3,3.4,3.43,306962,184177,10232060
